level,unpruned_accuracy,static_accuracy,adapt_accuracy,adapt_minus_static,adapt_minus_static_ci_low,adapt_minus_static_ci_high,adapt_minus_unpruned,static_minus_unpruned,paired_examples,static_keep_ratio,adapt_keep_ratio,unpruned_latency_ms,static_latency_ms,adapt_latency_ms
1,0.04,0.04,0.04,0.0,-0.12,0.12,0.0,0.0,25,0.75,0.75,11118.934506000222,15863.574512120103,19971.159932119917
2,0.12,0.0,0.04,0.04,0.0,0.12,-0.07999999999999999,-0.12,25,0.75,0.75,11096.003294359834,15841.028587200053,19966.0957788799
3,0.12,0.04,0.08,0.04,0.0,0.12,-0.039999999999999994,-0.07999999999999999,25,0.75,0.75,11087.004186320266,15884.790730639943,20026.3010801201
4,0.04,0.04,0.04,0.0,-0.12,0.12,0.0,0.0,25,0.75,0.75,11129.774147479986,15874.525097160149,19959.2728109203
5,0.0,0.0,0.04,0.04,0.0,0.12,0.04,0.0,25,0.75,0.75,11086.4013761199,15848.597682840118,20057.941453359672
